Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,Menzioni,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0000406,,,,,,2018,Chianti Classico Gran Selezione Castello Di Brolio,DOCG,Chianti Classico,Ricasoli,Toscana,4,45-49,Sangiovese 100%,nd,Gran Selezione,89,,89,,na,Rosso fermo,14,16k,18 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000406-1,7.30,55,1.17,#DIV/0!,4.3,,Chianti Classico Gran Selezione Castello Di Brolio,DOCG,Chianti Classico,Ricasoli,Toscana,3★-5★,45-49,Sangiovese – Cabernet Sauvignon – Petit Verdot,Lombata di chianina alla brace – Tagliata al rosmarino – Stracotto al Chianti,Gran Selezione,na,,na,,na,Rosso fermo,14,16k-75k,18 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000404,,,,,,2016,Chianti Classico Gran Selezione Ceniprimo,DOCG,Chianti Classico,Ricasoli,Toscana,3,50-54,Sangiovese 100%,nd,Gran Selezione,87,,87,,na,Rosso fermo,14.5,6k,18 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000404,,,,,,2017,Chianti Classico Gran Selezione Ceniprimo,DOCG,Chianti Classico,Ricasoli,Toscana,4,50-54,Sangiovese 100%,Petto d'anatra con scalogno caramellato,Gran Selezione,90,,90,,na,Rosso fermo,14.5,6k,18 mesi in tonneau + 12 mesi in bottiglia,"Evidente sfumatura granato intorno a un cuore rubino tenue, L'olfatto si snoda tra petali di rosa essiccati e un fruttato di lampone e ribes, continuando con tè verde, tabacco e qualche cenno di vaniglia. Al palato freschezza e sapidità accompagnano tannini dalla trama setosa, che bilanciano una solida morbidezza. Chiude su toni caldi di amarena. ",,na,na,na,na,na,Italia,2,,,
,0000404,,,,,,2018,Chianti Classico Gran Selezione Ceniprimo,DOCG,Chianti Classico,Ricasoli,Toscana,5,50-54,Sangiovese 100%,Beccaccia in salmì,Gran Selezione,94,,94,,na,Rosso fermo,14.5,9k,18 mesi in tonneau + 12 mesi in bottiglia,"Luminoso e tenue rubino tendente al granato. Scandisce nitidamente rosa, ribes rosso, succo d’arancia, sottobosco, lievi cenni speziati. In bocca è slanciato; la lunghissima progressione mette in evidenza freschezza e sapidità con tannini cesellati. Ha un finale saporito con ricordi di agrumi.",,na,na,na,na,na,Italia,2,,,
,0000404-1,4.32,33,0.63,#DIV/0!,4.0,,Chianti Classico Gran Selezione Ceniprimo,DOCG,Chianti Classico,Ricasoli,Toscana,3★-5★,50-54,Sangiovese 100%,Petto d'anatra con scalogno caramellato – Beccaccia in salmì,Gran Selezione,na,,na,,na,Rosso fermo,14.5,6k-9k,18 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000405,,,,,,2013,Chianti Classico Gran Selezione Colledila,DOCG,Chianti Classico,Ricasoli,Toscana,3,35-39,Sangiovese 100%,Tordi allo spiedo,Gran Selezione,86,,86,,na,Rosso fermo,14.5,20k,21 mesi in tonneau + 12 mesi in bottiglia,"Rosso rubino con orlo granato. Al naso emergono stuzzicanti sentori di marasca, rosa canina, pepe nero, bastoncino di liquirizia e cacao amaro. Perfetto connubio al gusto tra una corroborante nota calorica e tannini vivi  in fase di integrazione, a testimoniare l'ampio margine in divenire. ",,na,na,na,na,na,Italia,2,,,
,0000405,,,,,,2015,Chianti Classico Gran Selezione Colledila,DOCG,Chianti Classico,Ricasoli,Toscana,3,35-39,Sangiovese 100%,nd,Gran Selezione,86,,86,,na,Rosso fermo,14,27k,18 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000405,,,,,,2016,Chianti Classico Gran Selezione Colledila,DOCG,Chianti Classico,Ricasoli,Toscana,3,50-54,Sangiovese 100%,nd,Gran Selezione,87,,87,,na,Rosso fermo,14.5,27k,18 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000405,,,,,,2017,Chianti Classico Gran Selezione Colledila,DOCG,Chianti Classico,Ricasoli,Toscana,5,50-54,Sangiovese 100%,Filetto di cinta senese con riduzione di Chianti Classico,Gran Selezione,92,,92,,na,Rosso fermo,14,12k,18 mesi in tonneau + 12 mesi in bottiglia,"Splendente livrea rubino compatto. Intorno al nucleo fruttato di ciliegia e ribes nero ruotano petali di viola e, in successione, cannella, chiodi di garofano, ricordi di torrefazione e sigaro. Il gusto è intrigante, soprattutto per la qualità dei tannini, che emergono progressivamente e si fanno vibranti in combinazione con la sapidità Nel lungo epilogo vanta una persistente scia di scorza d'arancia amara.",,na,na,na,na,na,Italia,2,,,
,0000405,,,,,,2018,Chianti Classico Gran Selezione Colledila,DOCG,Chianti Classico,Ricasoli,Toscana,5,50-54,Sangiovese 100%,Filetto di manzo all'alpina,Gran Selezione,92,,92,,na,Rosso fermo,13,9k,18 mesi in tonneau + 12 mesi in bottiglia,"Veste rubino con sfumatura granato. Ottima definizione dei profumi fruttati di sciroppo di lampone, ciliegia e albicocca su uno sfondo di tabacco, liquirizia e spezie. Il sorso è pieno e potente, con tannini setosi, perfettamente fusi con la progressione sapida, rinfrescante e persistente",,na,na,na,na,na,Italia,2,,,
,0000405-1,6.98,53,1.01,#DIV/0!,3.8,,Chianti Classico Gran Selezione Colledila,DOCG,Chianti Classico,Ricasoli,Toscana,3★-5★,50-54,Sangiovese 100%,Tordi allo spiedo – Filetto di cinta senese con riduzione di Chianti Classico – Filetto di manzo all'alpina,Gran Selezione,na,,na,,na,Rosso fermo,13,9k-27k,18-21 mesi in tonneau + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000407,,,,,,2016,Chianti Classico Gran Selezione Roncicone,DOCG,Chianti Classico,Ricasoli,Toscana,3,50-54,Sangiovese 100%,nd,Gran Selezione,87,,87,,na,Rosso fermo,14,6k,18 mesi in tonneau,,,na,na,na,na,na,Italia,2,,,
,0000407,,,,,,2017,Chianti Classico Gran Selezione Roncicone,DOCG,Chianti Classico,Ricasoli,Toscana,4,50-54,Sangiovese 100%,Stracotto di manzo,Gran Selezione,90,,90,,na,Rosso fermo,14,6k,18 mesi in tonneau,"Fitta veste rubino con riverbero granato. Si presenta al naso con carattere boschivo, aprendosi con terra bagnata e foglie secche su cui giacciono bacche di mirto e chicchi di  | melagrana; sullo sfondo lascia un corredo speziato e nuance di caffè appena macinato. Ha tannini decisi che danno spessore a un  | sorso di avvolgente scansione, mantenendolo in tensione con aromi agrumati. ",,na,na,na,na,na,Italia,2,,,
,0000407,,,,,,2018,Chianti Classico Gran Selezione Roncicone,DOCG,Chianti Classico,Ricasoli,Toscana,4,50-54,Sangiovese 100%,nd,Gran Selezione,89,,89,,na,Rosso fermo,14,9k,18 mesi in tonneau,,,na,na,na,na,na,Italia,2,,,
,0000407-1,2.34,18,0.34,#DIV/0!,3.7,,Chianti Classico Gran Selezione Roncicone,DOCG,Chianti Classico,Ricasoli,Toscana,4★,50-54,Sangiovese 100%,Stracotto di manzo,Gran Selezione,na,,na,,na,Rosso fermo,14,6k-9k,18 mesi in tonneau,,,na,na,na,na,na,Italia,1,,,
,0000409,,,,,,2013,Chianti Classico Riserva Brolio,DOCG,Chianti Classico,Ricasoli,Toscana,3,20-24,Sangiovese 80% – Merlot 15% – Cabernet Sauvignon 5%,nd,Riserva,85,,85,,na,Rosso fermo,13.5,53k,16 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000409,,,,,,2014,Chianti Classico Riserva Brolio,DOCG,Chianti Classico,Ricasoli,Toscana,3,20-24,Sangiovese 80% – Merlot 15% – Cabernet Sauvignon 5%,Gramigna con salsiccia,Riserva,85,,85,,na,Rosso fermo,13.5,56k,16 mesi in botte,"Rubino concentrato. Profuma di ciliegia, susina rossa, tarassaco, peperone, poi si fanno strada liquirizia e rabarbaro su un soffio di pepe rosa AI gusto si dispone su una trama tannica  ben disegnata, che trascina ricordi di scorza d'arancia e lascia presagire un radioso futuro. Chiude con una persistente scia sapida.",,na,na,na,na,na,Italia,2,,,
,0000409,,,,,,2015,Chianti Classico Riserva Brolio,DOCG,Chianti Classico,Ricasoli,Toscana,2,20-24,Sangiovese 80% – Merlot 15% – Cabernet Sauvignon 5%,nd,Riserva,84,,84,,na,Rosso fermo,14,55k,16 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000409,,,,,,2016,Chianti Classico Riserva Brolio,DOCG,Chianti Classico,Ricasoli,Toscana,2,20-24,Sangiovese 80% – Merlot 15% – Cabernet Sauvignon 5%,nd,Riserva,84,,84,,na,Rosso fermo,14,54k,16 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000409,,,,,,2017,Chianti Classico Riserva Brolio,DOCG,Chianti Classico,Ricasoli,Toscana,3,20-24,Sangiovese 80% – Merlot 15% – Cabernet Sauvignon 5%,nd,Riserva,86,,86,,na,Rosso fermo,14,50k,16 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000409-1,1.25,9,0.43,#DIV/0!,2.6,,Chianti Classico Riserva Brolio,DOCG,Chianti Classico,Ricasoli,Toscana,2★-3★,20-24,Sangiovese 80% – Merlot 15% – Cabernet Sauvignon 5%,Gramigna con salsiccia,Riserva,na,,na,,na,Rosso fermo,14,50k-56k,16 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000408,,,,,,2013,Chianti Classico Riserva Rocca Guicciarda,DOCG,Chianti Classico,Ricasoli,Toscana,3,15-19,Sangiovese 90% – Canaiolo 5% – Merlot 5%,nd,Riserva,86,,86,,na,Rosso fermo,13.5,400k,?,,,na,na,na,na,na,Italia,2,,,
,0000408,,,,,,2017,Chianti Classico Riserva Rocca Guicciarda,DOCG,Chianti Classico,Ricasoli,Toscana,2,10-14,Sangiovese 90% – Canaiolo 5% – Merlot 5%,nd,Riserva,84,,84,,na,Rosso fermo,13.5,150k,?,,,na,na,na,na,na,Italia,2,,,
,0000408-1,0.45,3,0.29,#DIV/0!,2.5,,Chianti Classico Riserva Rocca Guicciarda,DOCG,Chianti Classico,Ricasoli,Toscana,2★-3★,10-14,Sangiovese 90% – Canaiolo 5% – Merlot 5%,nd,Riserva,na,,na,,na,Rosso fermo,13.5,150k-400k,?,,,na,na,na,na,na,Italia,1,,,
,0000411,,,,,,2014,Chianti Classico,DOCG,Chianti Classico,Riecine,Toscana,3,20-24,Sangiovese 100%,Tagliatelle al ragù bianco di coniglio,,86,,86,,na,Rosso fermo,12.5,40k,18 mesi in tonneau e botte grande,"Rubino trasparente. Profuma di viola, bacche  di rovo e mazzetto aromatico, con un cenno ferroso. Ha corpo sottile e tannini delicati, con un'acidità caratteristica, che è vera protagonista della bocca. Chiusura saporita. ",,na,na,na,na,na,Italia,2,,,
,0000411,,,,,,2015,Chianti Classico,DOCG,Chianti Classico,Riecine,Toscana,3,20-24,Sangiovese 100%,Tagliata di tonno,,85,,85,,na,Rosso fermo,13.5,40k,18 mesi in tonneau e botte grande,"Trasparente tonalità di rubino molto luminosa. Ha un esordio netto di lavanda, accompagnata dalla viola; dopo il floreale arrivano profumi fruttati di arancia e marasca, proseguendo con radice di liquirizia e cannella. In bocca è sottile e teso, ha un'acidità scattante e tannini sottili che si fondono con la sapidità finale. Discreta persistenza agrumata.",,na,na,na,na,na,Italia,2,,,
,0000411,,,,,,2017,Chianti Classico,DOCG,Chianti Classico,Riecine,Toscana,3,25-29,Sangiovese 100%,nd,,86,,86,,na,Rosso fermo,13.5,40k,14 mesi in tonneau e botte grande,,,na,na,na,na,na,Italia,2,,,
,0000411,,,,,,2018,Chianti Classico,DOCG,Chianti Classico,Riecine,Toscana,3,20-24,Sangiovese 100%,nd,,87,,87,,na,Rosso fermo,14,45k,14 mesi in tonneau e botte grande,,,na,na,na,na,na,Italia,2,,,
,0000411,,,,,,2019,Chianti Classico,DOCG,Chianti Classico,Riecine,Toscana,3,25-29,Sangiovese 100%,nd,,88,,88,,na,Rosso fermo,14,50k,14 mesi in tonneau e botte grande,,,na,na,na,na,na,Italia,2,,,
,0000411-1,1.69,13,0.47,#DIV/0!,3.0,,Chianti Classico,DOCG,Chianti Classico,Riecine,Toscana,3★,25-29,Sangiovese 100%,nd – Tagliatelle al ragù bianco di coniglio,,na,,na,,na,Rosso fermo,14,40k-50k,14-18 mesi in tonneau e botte grande,,,na,na,na,na,na,Italia,1,,,
,0000411,,,,,,2016,Chianti Classico Riecine,DOCG,Chianti Classico,Riecine,Toscana,3,20-24,Sangiovese 100%,nd,,86,,86,,na,Rosso fermo,13.5,40k,14 mesi in tonneau e botte grande,,,na,na,na,na,na,Italia,2,,,
,0000410,,,,,,2015,Chianti Classico Riserva,DOCG,Chianti Classico,Riecine,Toscana,4,35-39,Sangiovese 100%,Filetto al pepe rosa,Riserva,90,,90,,na,Rosso fermo,14,3k,21 mesi in botte grande,"Rosso granato tenue con accenno aranciato.  Il profumo consta di elementi scanditi ed evoluti, che compongono un quadro garbato di viola appassita, scorza d'arancia, ciliegia sotto spirito, tabacco e liquirizia. Al palato i tannini sono levigati, di finissima grana; la moderata spalla acida lascia la sapidità libera di risaltare. Dinamico e minerale nella chiusura. ",,na,na,na,na,na,Italia,2,,,
,0000410,,,,,,2017,Chianti Classico Riserva,DOCG,Chianti Classico,Riecine,Toscana,4,35-39,Sangiovese 100%,Tagliata di manzo al lardo di Colonnata e rosmarino,Riserva,90,,90,,na,Rosso fermo,15,4k,24 mesi in botte grande,"Sfavillante manto rubino. Risaltano nell’attacco olfattivo frutti di bosco con sfumature balsamiche e speziate, prima di esibire fiori essiccati, humus e un cenno di cuoio. L'impatto al palato è molto gustoso, di ciliegia e arancia. Gli ottimi tannini, alleati di freschezza e sapidità, creano spessore senza eccedere nell’astringenza. È minerale la lunga conclusione. ",,na,na,na,na,na,Italia,2,,,
,0000410,,,,,,2018,Chianti Classico Riserva,DOCG,Chianti Classico,Riecine,Toscana,5,40-44,Sangiovese 100%,Costata di manzo,Riserva,91,,91,,na,Rosso fermo,15,5k,24 mesi in botte grande,"Luminoso rubino tendente al granato. Rigorosa scansione di lampone, arancia, peonia, tabacco con sbuffi balsamici e ri chiami di sottobosco. Ingresso intenso al palato, procede agile e snello ha tannini puntuali e una netta impressione sapida. Lun ghissima conclusione fruttata",,na,na,na,na,na,Italia,2,,,
,0000410-1,4.98,38,0.89,#DIV/0!,4.3,,Chianti Classico Riserva,DOCG,Chianti Classico,Riecine,Toscana,4★-5★,40-44,Sangiovese 100%,Filetto al pepe rosa – Tagliata di manzo al lardo di Colonnata e rosmarino – Costata di manzo,Riserva,na,,na,,na,Rosso fermo,15,3k-5k,21-24 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0000701,,,,,,2014,Brunello,DOCG,Brunello Di Montalcino,Roberto Cipresso,Toscana,4,50-54,Sangiovese 100%,Girato di tordi allo spiedo,,90,,90,,na,Rosso fermo,14,1k,24 mesi in barrique + 36 mesi in bottiglia,"Granato vivido. Esordio olfattivo ben delineato da riconoscimenti di erbe aromatiche, tè al bergamotto, scorza  di arancia, rosa canina, amarena sotto spirito, cacao e, sul finale, un tocco di grafite. L'impatto in bocca è saporito  e succoso; il tannino è raffinato e già integrato. Le parti, in equilibrio, regalano un'apprezzabile freschezza. Finale persistente, accompagnato da ricordi di ribes nero e mirto. Vinificazione in tini troncoconici di rovere da 50 ettolitri, maturazione in barrique per 24 mesi e affinamento di 36 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000701,,,,,,2015,Brunello,DOCG,Brunello Di Montalcino,Roberto Cipresso,Toscana,5,60-64,Sangiovese 100%,Coscio di maiale al forno,,92,,92,,na,Rosso fermo,15,1k,24 mesi in barrique + 36 mesi in bottiglia,"Rubino smagliante con riflessi granato. Ha classe da vendere la  sua complessità olfattiva: glicine e peonia introducono gelée di fragola, arancia candita, foglioline di menta, fiori di lavanda essiccati e accenni di sottobosco. Restano in chiaroscuro le sfumature speziate di macis, chiodi  di garofano e liquirizia. La struttura robusta è legata a una fitta maglia di tannini dalla grana fine e setosa. Acidità e sapidità contribuiscono a bilanciare la componente calorica. Scorre con slancio lasciando dietro di sé una traccia indelebile di sensazioni minerali e agrumate. Fermenta in tini di legno e matura per 2 anni in barrique. ",,na,na,na,na,na,Italia,2,,,
,0000701,,,,,,2016,Brunello,DOCG,Brunello Di Montalcino,Roberto Cipresso,Toscana,5,65-69,Sangiovese 100%,Piccione con mosto cotto e scalogno,,92,,92,,na,Rosso fermo,14.5,2k,24 mesi in barrique + 36 mesi in bottiglia,"Carminio impenetrabile. Caleidoscopio di profumi scuri e accat- tivanti: mora, iris, viola, macis, liquirizia e una nota empireumati- ca e balsamica che si fondono ricordando il cioccolato alla men- ta. La bocca è sedotta dalla perfetta integrazione tra durezze e morbidezze con un finale lungo.",,na,na,na,na,na,Italia,2,,,
,0000701-1,6.96,47,0.70,20,4.7,,Brunello,DOCG,Brunello Di Montalcino,Roberto Cipresso,Toscana,4★-5★,65-69,Sangiovese 100%,Girato di tordi allo spiedo – Coscio di maiale al forno – Piccione con mosto cotto e scalogno,,na,,na,,na,Rosso fermo,14.5,1k-2k,24 mesi in barrique + 36 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000417,,,,,,2014,Chianti Classico Famiglia Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,1,15-19,Sangiovese 95% – Merlot 5%,nd,,79,,79,,na,Rosso fermo,13.5,970k,10 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000417,,,,,,2016,Chianti Classico Famiglia Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,2,15-19,Sangiovese 95% – Merlot 5%,nd,,83,,83,,na,Rosso fermo,13.5,970k,10 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000417,,,,,,2017,Chianti Classico Famiglia Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,2,15-19,Sangiovese 95% – Merlot 5%,nd,,84,,84,,na,Rosso fermo,13.5,970k,10 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000417,,,,,,2018,Chianti Classico Famiglia Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,2,15-19,Sangiovese 95% – Merlot 5%,nd,,84,,84,,na,Rosso fermo,13.5,970k,10 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000417,,,,,,2019,Chianti Classico Famiglia Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,2,15-19,Sangiovese 95% – Merlot 5%,nd,,84,,84,,na,Rosso fermo,13.5,970k,10 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000417-1,0.47,4,0.21,#DIV/0!,1.8,,Chianti Classico Famiglia Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,1★-2★,15-19,Sangiovese 95% – Merlot 5%,nd,,na,,na,,na,Rosso fermo,13.5,970k,10 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000413,,,,,,2013,Chianti Classico Gran Selezione Riserva Di Fizzano,DOCG,Chianti Classico,Rocca delle Macie,Toscana,3,30-34,Sangiovese 95% – Merlot 5%,nd,Gran Selezione,86,,86,,na,Rosso fermo,13.5,20k,24 mesi in botte grande + 12 mesi in bottiglia,"Rubino compatto. Ventaglio olfattivo variegato che esordisce con prugna e piccoli frutti di bosco, mora e ribes nero; seguono sentori  di eucalipto, chiodi di garofano, humus e miele di castagno. Sorso carnoso, dotato di grinta fresca e ottimo tannino; la chiusura lunghissima lascia un ricordo di chinotto.",,na,na,na,na,na,Italia,2,,,
,0000413,,,,,,2014,Chianti Classico Gran Selezione Riserva Di Fizzano,DOCG,Chianti Classico,Rocca delle Macie,Toscana,3,30-34,Sangiovese 95% – Merlot 5%,nd,Gran Selezione,87,,87,,na,Rosso fermo,14,25k,24 mesi in botte grande + 12 mesi in bottiglia,"Rubino compatto. Ventaglio olfattivo variegato che esordisce con prugna e piccoli frutti di bosco, mora e ribes nero; seguono sentori  di eucalipto, chiodi di garofano, humus e miele di castagno. Sorso carnoso, dotato di grinta fresca e ottimo tannino; la chiusura lunghissima lascia un ricordo di chinotto.",,na,na,na,na,na,Italia,2,,,
,0000413,,,,,,2015,Chianti Classico Gran Selezione Riserva Di Fizzano,DOCG,Chianti Classico,Rocca delle Macie,Toscana,5,30-34,Sangiovese 93% – Colorino 7%,nd,Gran Selezione,92,,92,,na,Rosso fermo,14,20k,24 mesi in botte grande + 12 mesi in bottiglia,"Veste rubino intenso. Al naso rivela profumi di arancia sanguinella e confettura di prugne; seguono grafite, eucalipto e sensazioni terrose. Spicca un tocco di speziatura piccante, accompagnato da sentori di polvere di caffè e cioccolato. Esplosivo in bocca: l'energica freschezza e la trama tannica risoluta bilanciano la traccia calorosa dell'alcol, rendendo il sorso avvolgente, dai lunghissimi ritorni citrini. ",,na,na,na,na,na,Italia,2,,,
,0000413,,,,,,2016,Chianti Classico Gran Selezione Riserva Di Fizzano,DOCG,Chianti Classico,Rocca delle Macie,Toscana,4,30-34,Sangiovese 90% – Colorino 10%,Tagliata di chianina ai funghi porcini,Gran Selezione,89,,89,,na,Rosso fermo,14.5,20k,24 mesi in botte grande + 12 mesi in bottiglia,"Vivida veste rosso rubino con accenno granato sull’orlo. Mora, marasca e lampone al naso sembrano giacere su un letto fiorito, avvolti  da essenze balsamiche, cannella e tabacco.  È corposo e scattante; i tannini sono messi in evidenza dall'acidità e si fondono in un finale di bocca saporito, dalla lunga persistenza.",,na,na,na,na,na,Italia,2,,,
,0000413,,,,,,2018,Chianti Classico Gran Selezione Riserva Di Fizzano,DOCG,Chianti Classico,Rocca delle Macie,Toscana,3,30-34,Sangiovese 90% – Colorino 10%,nd,Gran Selezione,88,,88,,na,Rosso fermo,14.5,20k,24 mesi in botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000413-1,5.00,38,1.18,#DIV/0!,3.6,,Chianti Classico Gran Selezione Riserva Di Fizzano,DOCG,Chianti Classico,Rocca delle Macie,Toscana,3★-5★,30-34,Sangiovese – Colorino – Merlot,Tagliata di chianina ai funghi porcini,Gran Selezione,na,,na,,na,Rosso fermo,14.5,20k-25k,24 mesi in botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000412,,,,,,2012,Chianti Classico Gran Selezione Sergio Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,2,45-49,Sangiovese 90% – Colorino 10%,nd,Gran Selezione,84,,84,,na,Rosso fermo,14,10k,18 mesi in botte grande + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
,0000412,,,,,,2013,Chianti Classico Gran Selezione Sergio Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,5,45-49,Sangiovese 90% – Colorino 10%,Filetto alla rossini,Gran Selezione,91,,91,,na,Rosso fermo,14,10k,18 mesi in botte grande + 12 mesi in bottiglia,"Rubino intenso e smagliante. La tavolozza olfattiva dischiude confettura di mirtilli rossi e amarene su note balsamiche di alloro; sentori di violetta si intrecciano con percezioni più severe di cardamomo e tabacco da pipa  poi accenni suadenti di macis. Convince  al palato come al naso; sorso di grande armonia e personalità; potenza espressa sottovoce, mascherata da tannini levigati. Freschezza e garbata sapidità non stancano mai la beva. Una lunga persistenza chiude  un retrogusto mentolato.",,na,na,na,na,na,Italia,2,,,
,0000412,,,,,,2014,Chianti Classico Gran Selezione Sergio Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,3,60-64,Sangiovese 100%,Risotto al parmigiano e scaglie di tartufo,Gran Selezione,88,,88,,na,Rosso fermo,15,6k,18 mesi in botte grande + 12 mesi in bottiglia,"Rosso rubino denso e luminoso. Impatto olfattivo di confettura di mirtilli e Mmore,  ribes rosso, viola, liquirizia, erbe officinali, tostature e tonificanti balsamicità. All'assaggio la morbidezza è ben amalgamata coi  tannini setosi; l'alcol, pur presente, è ben armonizzato nel contesto, conferendo una beva coinvolgente, dal sapido e lungo epilogo.",,na,na,na,na,na,Italia,2,,,
,0000412,,,,,,2015,Chianti Classico Gran Selezione Sergio Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,4,60-64,Sangiovese 100%,Agnello arrosto,Gran Selezione,90,,90,,na,Rosso fermo,14.5,10k,18 mesi in botte grande + 20 mesi in bottiglia,"Luminosa livrea rosso granato. Confettura di frutti di bosco e viola anticipano erbe alpine, pepe e chiodi di garofano, fino a una punta di caffè tostato. Il gusto è potente e ha carattere avvolgente, con tannini vellutati e ottima grinta nella chiusura salina.",,na,na,na,na,na,Italia,2,,,
,0000412,,,,,,2016,Chianti Classico Gran Selezione Sergio Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,5,60-64,Sangiovese 100%,Manzo di kobe ,Gran Selezione,91,,91,,na,Rosso fermo,14.5,10k,24 mesi in botte grande + 20 mesi in bottiglia,"Rosso rubino scuro. Amarena e mirtillo anticipano un susseguirsi di cannella, vaniglia, grani di pepe, sottobosco e un accenno di cuoio. ll gusto si sviluppa intorno a tenaci tannini, che mettono in ombra freschezza  e morbidezza. Emerge invece una sapidità benefica, che si fa artefice della conclusione saporita e persistente. Destinato a una lunga conservazione. ",,na,na,na,na,na,Italia,2,,,
,0000412,,,,,,2017,Chianti Classico Gran Selezione Sergio Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,5,60-64,Sangiovese 100%,Spezzatino di cinghiale,Gran Selezione,91,,91,,na,Rosso fermo,14,7k,24 mesi in botte grande + 20 mesi in bottiglia,"Velluto amaranto. Attrae con intensi profumi di agrumi, susina e melograno che sfumano in polvere di caffè e sottobosco. Sul finale si distende su ricordi di spezie variegate, vaniglia, cuoio e tabacco dolce. Il sorso è equilibrato, dinamico e scattante, in evi denza i frutti freschi e succosi nel finale.",,na,na,na,na,na,Italia,2,,,
,0000412-1,10.40,78,1.26,#DIV/0!,4.0,,Chianti Classico Gran Selezione Sergio Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,2★-5★,60-64,Sangiovese – Colorino,Filetto alla rossini – Risotto al parmigiano e scaglie di tartufo – Agnello arrosto – Manzo di kobe  – Spezzatino di cinghiale,Gran Selezione,na,,na,,na,Rosso fermo,14,6k-10k,18-24 mesi in botte grande + 12-20 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000415,,,,,,2013,Chianti Classico Riserva Famiglia Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,4,20-24,Sangiovese 90% – Cabernet Sauvignon 5% – Merlot 5%,Spiedo di uccelli con fagioli,Riserva,89,,89,,na,Rosso fermo,13.5,280k,24 mesi in botte grande + 3 mesi in bottiglia,"Vivace color rubino. All'olfatto richiama profumi intensi di arancia sanguinella, macis, cardamomo, aromi mentolati; i sentori terziari si affacciano per regalare nuance di tabacco biondo e ceralacca. In bocca colpisce subito il tannino, elegante e vellutato; grande alternanza di sapori conferma la complessità del naso,  in un corpo integrato all'alcol, che sembra scomparire davanti alla freschezza dell'agrume. Rotondo e lunghissimo, lascia una scia di tabacco. ",,na,na,na,na,na,Italia,2,,,
,0000415,,,,,,2014,Chianti Classico Riserva Famiglia Zingarelli,DOCG,Chianti Classico,Rocca delle Macie,Toscana,3,20-24,Sangiovese 90% – Cabernet Sauvignon 5% – Merlot 5%,nd,Riserva,86,,86,,na,Rosso fermo,14,6k,24 mesi in botte grande + 3 mesi in bottiglia,,,na,na,na,na,na,Italia,2,,,
